6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,6.400000000000000000e+02,1.600000000000000000e+02,4.000000000000000000e+01,1.600000000000000000e+02,6.400000000000000000e+02
1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,6.400000000000000000e+02,1.600000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+01,4.000000000000000000e+01,1.600000000000000000e+02
6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,6.400000000000000000e+02,1.600000000000000000e+02,4.000000000000000000e+01,1.600000000000000000e+02,6.400000000000000000e+02
2.621440000000000000e+06,6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,6.400000000000000000e+02,1.600000000000000000e+02,6.400000000000000000e+02,2.560000000000000000e+03
1.048576000000000000e+07,2.621440000000000000e+06,6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,6.400000000000000000e+02,2.560000000000000000e+03,1.024000000000000000e+04
4.194304000000000000e+07,1.048576000000000000e+07,2.621440000000000000e+06,6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,1.024000000000000000e+04,4.096000000000000000e+04
1.677721600000000000e+08,4.194304000000000000e+07,1.048576000000000000e+07,2.621440000000000000e+06,6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,4.096000000000000000e+04,1.638400000000000000e+05
4.194304000000000000e+07,1.048576000000000000e+07,2.621440000000000000e+06,6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,1.024000000000000000e+04,4.096000000000000000e+04
1.048576000000000000e+07,2.621440000000000000e+06,6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,6.400000000000000000e+02,2.560000000000000000e+03,1.024000000000000000e+04
2.621440000000000000e+06,6.553600000000000000e+05,1.638400000000000000e+05,4.096000000000000000e+04,1.024000000000000000e+04,2.560000000000000000e+03,6.400000000000000000e+02,1.600000000000000000e+02,6.400000000000000000e+02,2.560000000000000000e+03
