4.393693506717681885e-01,9.901341199874877930e-01,1.969116806983947754e+00,3.455907344818115234e+00,5.352614402770996094e+00,7.316155910491943359e+00,8.824969291687011719e+00,9.394130706787109375e+00,8.824969291687011719e+00,7.316155910491943359e+00
4.677062034606933594e-01,1.053992271423339844e+00,2.096113920211791992e+00,3.678794384002685547e+00,5.697828292846679688e+00,7.788007736206054688e+00,9.394130706787109375e+00,1.000000000000000000e+01,9.394130706787109375e+00,7.788007736206054688e+00
4.393693506717681885e-01,9.901341199874877930e-01,1.969116806983947754e+00,3.455907344818115234e+00,5.352614402770996094e+00,7.316155910491943359e+00,8.824969291687011719e+00,9.394130706787109375e+00,8.824969291687011719e+00,7.316155910491943359e+00
3.642499744892120361e-01,8.208500146865844727e-01,1.632455110549926758e+00,2.865047931671142578e+00,4.437473297119140625e+00,6.065306663513183594e+00,7.316155910491943359e+00,7.788007736206054688e+00,7.316155910491943359e+00,6.065306663513183594e+00
2.664909660816192627e-01,6.005466580390930176e-01,1.194329738616943359e+00,2.096113920211791992e+00,3.246524572372436523e+00,4.437473297119140625e+00,5.352614402770996094e+00,5.697828292846679688e+00,5.352614402770996094e+00,4.437473297119140625e+00
1.720595061779022217e-01,3.877420723438262939e-01,7.711172103881835938e-01,1.353352785110473633e+00,2.096113920211791992e+00,2.865047931671142578e+00,3.455907344818115234e+00,3.678794384002685547e+00,3.455907344818115234e+00,2.865047931671142578e+00
9.803654253482818604e-02,2.209287732839584351e-01,4.393693506717681885e-01,7.711172103881835938e-01,1.194329738616943359e+00,1.632455110549926758e+00,1.969116806983947754e+00,2.096113920211791992e+00,1.969116806983947754e+00,1.632455110549926758e+00
1.720595061779022217e-01,3.877420723438262939e-01,7.711172103881835938e-01,1.353352785110473633e+00,2.096113920211791992e+00,2.865047931671142578e+00,3.455907344818115234e+00,3.678794384002685547e+00,3.455907344818115234e+00,2.865047931671142578e+00
2.664909660816192627e-01,6.005466580390930176e-01,1.194329738616943359e+00,2.096113920211791992e+00,3.246524572372436523e+00,4.437473297119140625e+00,5.352614402770996094e+00,5.697828292846679688e+00,5.352614402770996094e+00,4.437473297119140625e+00
3.642499744892120361e-01,8.208500146865844727e-01,1.632455110549926758e+00,2.865047931671142578e+00,4.437473297119140625e+00,6.065306663513183594e+00,7.316155910491943359e+00,7.788007736206054688e+00,7.316155910491943359e+00,6.065306663513183594e+00
