7.684623597015161067e-06,7.207874296000227332e-05,4.110389563720673323e-04,1.425175229087471962e-03,3.004538360983133316e-03,3.851415123790502548e-03,3.001921810209751129e-03,1.422700239345431328e-03,4.099729121662676334e-04,7.183107663877308369e-05,7.651875421288423240e-06
7.287760672625154257e-05,6.836198735982179642e-04,3.898763563483953476e-03,1.351915206760168076e-02,2.850339934229850769e-02,3.654070943593978882e-02,2.848353981971740723e-02,1.350036729127168655e-02,3.890672698616981506e-03,6.817402318120002747e-04,7.262905273819342256e-05
4.191985935904085636e-04,3.932566847652196884e-03,2.242977172136306763e-02,7.778300344944000244e-02,1.640096604824066162e-01,2.102749943733215332e-01,1.639239639043807983e-01,7.770193368196487427e-02,2.239485643804073334e-02,3.924452234059572220e-03,4.181254771538078785e-04
1.462511019781231880e-03,1.372118014842271805e-02,7.826668769121170044e-02,2.714401483535766602e-01,5.723958015441894531e-01,7.339262366294860840e-01,5.721963644027709961e-01,2.712514996528625488e-01,7.818543910980224609e-02,1.370230317115783691e-02,1.460014726035296917e-03
3.094800282269716263e-03,2.903762087225914001e-02,1.656468212604522705e-01,5.745363235473632812e-01,1.211650848388671875e+00,1.553714752197265625e+00,1.211439847946166992e+00,5.743366479873657227e-01,1.655608266592025757e-01,2.901763841509819031e-02,3.092157654464244843e-03
3.972100093960762024e-03,3.727215528488159180e-02,2.126391977071762085e-01,7.375899553298950195e-01,1.555652618408203125e+00,1.995006322860717773e+00,1.555652618408203125e+00,7.375899553298950195e-01,2.126391977071762085e-01,3.727215528488159180e-02,3.972100093960762024e-03
3.092157654464244843e-03,2.901763841509819031e-02,1.655608266592025757e-01,5.743366479873657227e-01,1.211439847946166992e+00,1.553714752197265625e+00,1.211650848388671875e+00,5.745363235473632812e-01,1.656468212604522705e-01,2.903762087225914001e-02,3.094800282269716263e-03
1.460014726035296917e-03,1.370230317115783691e-02,7.818543910980224609e-02,2.712514996528625488e-01,5.721963644027709961e-01,7.339262366294860840e-01,5.723958015441894531e-01,2.714401483535766602e-01,7.826668769121170044e-02,1.372118014842271805e-02,1.462511019781231880e-03
4.181254771538078785e-04,3.924452234059572220e-03,2.239485643804073334e-02,7.770193368196487427e-02,1.639239639043807983e-01,2.102749943733215332e-01,1.640096604824066162e-01,7.778300344944000244e-02,2.242977172136306763e-02,3.932566847652196884e-03,4.191985935904085636e-04
7.262905273819342256e-05,6.817402318120002747e-04,3.890672698616981506e-03,1.350036729127168655e-02,2.848353981971740723e-02,3.654070943593978882e-02,2.850339934229850769e-02,1.351915206760168076e-02,3.898763563483953476e-03,6.836198735982179642e-04,7.287760672625154257e-05
7.651875421288423240e-06,7.183107663877308369e-05,4.099729121662676334e-04,1.422700239345431328e-03,3.001921810209751129e-03,3.851415123790502548e-03,3.004538360983133316e-03,1.425175229087471962e-03,4.110389563720673323e-04,7.207874296000227332e-05,7.684623597015161067e-06
